SRC_NAME,RAJ2000,DECJ2000,IAUNAME
4FGL_J0928.4-0415,142.139455733,-4.15245754722,1eRASS J092833.5-040909
4FGL_J0931.2-8533,142.635702967,-85.5665819639,1eRASS J093035.3-853400
4FGL_J0933.5-5240,143.388207708,-52.6720054583,1eRASS J093333.2-524019
4FGL_J0935.4-6911,143.70370483398438,-69.18502807617188,1eRASS J093448.6-691108
4FGL_J0938.9-6403,144.718044029,-64.0478372056,1eRASS J093852.7-640253
4FGL_J0939.3-1732,144.829979492,-17.5266048778,1eRASS J093919.4-173139
4FGL_J0940.0-2828,145.020375871,-28.4916316306,1eRASS J094005.3-282932
4FGL_J0940.7-6105,145.197329296,-61.1245500944,1eRASS J094047.6-610729
4FGL_J0942.7-2028,145.657613558,-20.4536824667,1eRASS J094237.7-202714
4FGL_J0950.2-1623,147.55690002441406,-16.404766082763672,1eRASS J095013.7-162423
4FGL_J0954.2-2520,148.581852025,-25.3328953222,1eRASS J095419.5-251952
4FGL_J0958.1-6753,149.554416408,-67.8784724056,1eRASS J095812.9-675241
4FGL_J1002.3-1200,150.53353881835938,-12.015283584594727,1eRASS J100207.8-120059
4FGL_J1003.4+0205,150.8607940673828,2.082200050354004,1eRASS J100326.5+020454
4FGL_J1003.6-2137,150.928680512,-21.6359421611,1eRASS J100342.8-213808
4FGL_J1006.8-5007,151.55836486816406,-50.303741455078125,1eRASS J100614.3-501811
4FGL_J1011.1-2300,152.83534240722656,-23.022077560424805,1eRASS J101120.4-230118
4FGL_J1012.3-1232,153.06268310546875,-12.561077117919922,1eRASS J101215.0-123336
4FGL_J1017.2-1549,154.3246307373047,-15.826000213623047,1eRASS J101717.9-154935
4FGL_J1017.4+2538,154.35162353515625,25.665555953979492,1eRASS J101724.4+253958
4FGL_J1019.7+0511,154.951026404,5.22467723056,1eRASS J101948.4+051324
4FGL_J1030.4-3001,157.629242071,-30.0613408222,1eRASS J103030.9-300347
4FGL_J1031.8-2609,157.90786743164062,-26.12127685546875,1eRASS J103137.9-260717
4FGL_J1033.7+3708,158.44329833984375,37.14030075073242,1eRASS J103346.4+370825
4FGL_J1037.0-1954,159.23316955566406,-19.906639099121094,1eRASS J103655.7-195422
4FGL_J1039.6+0535,159.9196014404297,5.602499961853027,1eRASS J103940.6+053608
4FGL_J1041.1-1201,160.285689067,-12.05862015,1eRASS J104108.3-120337
4FGL_J1047.8-6216,161.928967842,-62.2873983056,1eRASS J104742.9-621718
4FGL_J1047.9+0055,162.032269204,0.928744744444,1eRASS J104807.8+005540
4FGL_J1047.9-4642,162.0750274658203,-46.654850006103516,1eRASS J104817.8-463916
4FGL_J1050.6-5248,162.658447265625,-52.8300895690918,1eRASS J105037.6-524947
4FGL_J1051.2-6517,162.848003979,-65.3023960639,1eRASS J105123.6-651806
4FGL_J1104.0+2611,165.98870849609375,26.188583374023438,1eRASS J110357.2+261120
4FGL_J1108.8-6833,167.52053833007812,-68.57794189453125,1eRASS J111005.2-683447
4FGL_J1109.7-4814,167.328600692,-48.2553521833,1eRASS J110918.7-481520
4FGL_J1115.2-0703,168.79887715,-7.04443635556,1eRASS J111511.9-070233
4FGL_J1116.3-4000,169.0260772705078,-40.061309814453125,1eRASS J111606.2-400338
4FGL_J1118.0-1620,169.47604370117188,-16.156309127807617,1eRASS J111754.0-160926
4FGL_J1121.3-0011,170.330926062,-0.221237736111,1eRASS J112119.2-001318
4FGL_J1124.4+2308,171.131617833,23.1322092139,1eRASS J112431.3+230759
4FGL_J1125.0-5804,171.267022479,-58.094365025,1eRASS J112503.9-580535
4FGL_J1126.8-3829,171.683888779,-38.4789027861,1eRASS J112643.7-382843
4FGL_J1129.2-1014,172.30221557617188,-10.230416297912598,1eRASS J112912.4-101350
4FGL_J1129.5+3034,172.405381546,30.6095670056,1eRASS J112936.9+303633
4FGL_J1131.1-0944,172.771856892,-9.73513733889,1eRASS J113105.2-094406
4FGL_J1132.2-4736,173.038574608,-47.6481533667,1eRASS J113209.2-473852
4FGL_J1132.3-5606,173.06838989257812,-56.1124267578125,1eRASS J113216.2-560646
